Cabot Oil & Gas,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Thompson Ranch No. 11H,,,,,,,,,,,,,,,
"Frio County, Texas (NAD 27)",,,,,,,,,,,,,,,
North Reference: Grid,,,,,,,,,,,,,,,
KB-MSL: 554.30 ,,,,,,,,,,,,,,,
Ground Level: 526.30 ,,,,,,,,,,,,,,,
Design #2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 , , ,Course, ,Subsea, , , , , , ,Dogleg,,,
MD,INC,AZI,Length,TVD,Depth,N/-S,E/-W,X,Y,Lat,Long,Severity,T.Face,Vert Sec,
,,,,,,,,,,,,,,,
6100,0,0,100,6097.12,-5542.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
6200,0,0,100,6197.12,-5642.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
6300,0,0,100,6297.12,-5742.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
6400,0,0,100,6397.12,-5842.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
6500,0,0,100,6497.12,-5942.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
6600,0,0,100,6597.12,-6042.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
6700,0,0,100,6697.12,-6142.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
6800,0,0,100,6797.12,-6242.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
6900,0,0,100,6897.12,-6342.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
7000,0,0,100,6997.12,-6442.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
7100,0,0,100,7097.12,-6542.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
7200,0,0,100,7197.12,-6642.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
7300,0,0,100,7297.12,-6742.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59, 
7328,0,0,28,7325.12,-6770.82,-130.326,38.308,2022810.57,315038.692,28° 41' 59.155851 N,98° 55' 43.847085 W,0,0,-60.59,Begin 10.00°/100' Build
7350,2.2,86.45,22,7347.114,-6792.814,-130.3,38.729,2022810.991,315038.718,28° 41' 59.156107 N,98° 55' 43.842351 W,10,86.45,-60.263, 
7400,7.2,86.45,50,7396.93,-6842.63,-130.046,42.817,2022815.079,315038.972,28° 41' 59.158594 N,98° 55' 43.796446 W,10,0,-57.095, 
7450,12.2,86.45,50,7446.2,-6891.9,-129.525,51.223,2022823.485,315039.493,28° 41' 59.163707 N,98° 55' 43.702050 W,10,0,-50.58, 
7500,17.2,86.45,50,7494.548,-6940.248,-128.739,63.882,2022836.144,315040.279,28° 41' 59.171407 N,98° 55' 43.559884 W,10,0,-40.767, 
7550,22.2,86.45,50,7541.607,-6987.307,-127.696,80.699,2022852.961,315041.322,28° 41' 59.181636 N,98° 55' 43.371028 W,10,0,-27.732, 
7600,27.2,86.45,50,7587.018,-7032.718,-126.403,101.546,2022873.808,315042.615,28° 41' 59.194316 N,98° 55' 43.136921 W,10,0,-11.574, 
7650,32.2,86.45,50,7630.435,-7076.135,-124.869,126.263,2022898.525,315044.149,28° 41' 59.209350 N,98° 55' 42.859343 W,10,0,7.585, 
7700,37.2,86.45,50,7671.53,-7117.23,-123.107,154.664,2022926.926,315045.911,28° 41' 59.226624 N,98° 55' 42.540407 W,10,0,29.598, 
7750,42.2,86.45,50,7709.987,-7155.687,-121.13,186.531,2022958.793,315047.888,28° 41' 59.246006 N,98° 55' 42.182541 W,10,0,54.299, 
7800,47.2,86.45,50,7745.516,-7191.216,-118.953,221.622,2022993.884,315050.065,28° 41' 59.267349 N,98° 55' 41.788468 W,10,0,81.498, 
7850,52.2,86.45,50,7777.845,-7223.545,-116.593,259.67,2023031.932,315052.425,28° 41' 59.290490 N,98° 55' 41.361187 W,10,0,110.989, 
7900,57.2,86.45,50,7806.729,-7252.429,-114.067,300.386,2023072.648,315054.951,28° 41' 59.315253 N,98° 55' 40.903950 W,10,0,142.548, 
7928,60,86.45,28,7821.316,-7267.016,-112.587,324.237,2023096.499,315056.431,28° 41' 59.329759 N,98° 55' 40.636100 W,10,0,161.036,Begin 10.00°/100' Build & Turn
7950,61.111,84.269,22,7832.131,-7277.831,-111.036,343.33,2023115.592,315057.982,28° 41' 59.345008 N,98° 55' 40.421680 W,10,299.791,176.085, 
8000,63.76,79.485,50,7855.277,-7300.977,-104.754,387.185,2023159.447,315064.264,28° 41' 59.406940 N,98° 55' 39.929168 W,10,300.863,212.5, 
8050,66.561,74.919,50,7876.288,-7321.988,-94.687,431.407,2023203.669,315074.331,28° 41' 59.506343 N,98° 55' 39.432500 W,10,303.079,251.759, 
8100,69.488,70.548,50,7895.005,-7340.705,-80.913,475.661,2023247.923,315088.105,28° 41' 59.642458 N,98° 55' 38.935454 W,10,304.998,293.563, 
8150,72.521,66.343,50,7911.284,-7356.984,-63.536,519.609,2023291.871,315105.482,28° 41' 59.814251 N,98° 55' 38.441815 W,10,306.635,337.595, 
8200,75.639,62.278,50,7925.002,-7370.702,-42.688,562.917,2023335.179,315126.33,28° 42' 0.020413 N,98° 55' 37.955339 W,10,308.005,383.519, 
8250,78.825,58.325,50,7936.056,-7381.756,-18.528,605.255,2023377.517,315150.49,28° 42' 0.259376 N,98° 55' 37.479727 W,10,309.121,430.986, 
8300,82.061,54.46,50,7944.359,-7390.059,8.76,646.301,2023418.563,315177.778,28° 42' 0.529322 N,98° 55' 37.018600 W,10,309.995,479.634, 
8350,85.332,50.655,50,7949.85,-7395.55,38.969,685.744,2023458.006,315207.987,28° 42' 0.828195 N,98° 55' 36.575467 W,10,310.637,529.093, 
8400,88.624,46.886,50,7952.486,-7398.186,71.869,723.282,2023495.544,315240.887,28° 42' 1.153721 N,98° 55' 36.153700 W,10,311.056,578.987, 
8425.137,90.282,44.996,25.137,7952.726,-7398.426,89.347,741.344,2023513.606,315258.365,28° 42' 1.326674 N,98° 55' 35.950748 W,10,311.254,604.116,Begin 90.28° Lateral
8500,90.282,44.996,74.863,7952.358,-7398.058,142.286,794.275,2023566.537,315311.304,28° 42' 1.850526 N,98° 55' 35.355972 W,0,0,678.926, 
8600,90.282,44.996,100,7951.866,-7397.566,213.001,864.98,2023637.242,315382.019,28° 42' 2.550277 N,98° 55' 34.561479 W,0,0,778.855, 
8700,90.282,44.996,100,7951.373,-7397.073,283.715,935.685,2023707.947,315452.733,28° 42' 3.250026 N,98° 55' 33.766983 W,0,0,878.785, 
8800,90.282,44.996,100,7950.881,-7396.581,354.43,1006.39,2023778.652,315523.448,28° 42' 3.949774 N,98° 55' 32.972485 W,0,0,978.714, 
8900,90.282,44.996,100,7950.389,-7396.089,425.145,1077.095,2023849.357,315594.163,28° 42' 4.649520 N,98° 55' 32.177983 W,0,0,1078.644, 
9000,90.282,44.996,100,7949.897,-7395.597,495.859,1147.8,2023920.062,315664.877,28° 42' 5.349265 N,98° 55' 31.383478 W,0,0,1178.573, 
9100,90.282,44.996,100,7949.404,-7395.104,566.574,1218.505,2023990.767,315735.592,28° 42' 6.049009 N,98° 55' 30.588970 W,0,0,1278.503, 
9200,90.282,44.996,100,7948.912,-7394.612,637.289,1289.21,2024061.472,315806.307,28° 42' 6.748752 N,98° 55' 29.794459 W,0,0,1378.432, 
9300,90.282,44.996,100,7948.42,-7394.12,708.003,1359.915,2024132.177,315877.021,28° 42' 7.448493 N,98° 55' 28.999946 W,0,0,1478.362, 
